title,authors,year,doi,pdf link ,plain_summary,why_it_matters,theme_tags,audience_level,featured,open_access,data_code_links,policy_relevance,press_links,image_url,alt_text,impact_tags,citation_count,funders,region_system,methods_tags,source_url,journal,journal_abbrev,volume,issue,pages,publisher,abstract,keywords,issn,doi_url,citation_apa,study_type,sdg_tags,collaborators,lab_project,notes
Experimentally induced metamorphosis in axolotls reduces regenerative rate and fidelity,"Monaghan, James R.; Stier, Adrian C.; Michonneau, François; Smith, Matthew D.; Pasch, Bret; Maden, Malcolm; Seifert, Ashley W.",2014,10.1002/reg2.8,https://drive.google.com/open?id=1RO77g1kvd18rIxLWxU3ypMyPRfd6LJ9h&usp=drive_fs,"Abstract While most tetrapods are unable to regenerate severed body parts, amphibians display a remarkable ability to regenerate an array of structures. Frogs can regenerate appendages as larva, but they lose this ability around metamorphosis. In contrast, salamanders regenerate appendages as larva, juveniles, and adults.",,,,,TRUE,,,,,,,85,Singer Fund,,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/reg2.8,Regeneration,Regeneration,1,1,14-Feb,Wiley,"AbstractWhile most tetrapods are unable to regenerate severed body parts, amphibians display a remarkable ability to regenerate an array of structures. Frogs can regenerate appendages as larva, but they lose this ability around metamorphosis. In contrast, salamanders regenerate appendages as larva, juveniles, and adults. However, the extent to which fundamental traits (e.g., metamorphosis, body size, aging, etc.) restrict regenerative ability remains contentious. Here we utilize the ability of normally paedomorphic adult axolotls (Ambystoma mexicanum) to undergo induced metamorphosis by thyroxine exposure to test how metamorphosis and body size affects regeneration in age‐matched paedomorphic and metamorphic individuals. We show that body size does not affect regeneration in adult axolotls, but metamorphosis causes a twofold reduction in regeneration rate, and lead to carpal and digit malformations. Furthermore, we find evidence that metamorphic blastemal cells may take longer to traverse the cell cycle and display a lower proliferative rate. This study identifies the axolotl as a powerful system to study how metamorphosis restricts regeneration independently of developmental stage, body size, and age; and more broadly how metamorphosis affects tissue‐specific changes.",Metamorphosis; Neoteny; Biology; Regeneration (biology); Axolotl; Appendage,2052-4412,https://doi.org/10.1002/reg2.8,"R., M. J., C., S. A., François, M., D., S. M., Bret, P., Malcolm, M., W., S. A. (2014.0). Experimentally induced metamorphosis in axolotls reduces regenerative rate and fidelity. Regeneration, 1(1), 2-14. https://doi.org/10.1002/reg2.8",,,,,
Assessing trade-offs to inform ecosystem-based fisheries management of forage fish,"Shelton, Andrew Olaf; Samhouri, Jameal F.; Stier, Adrian C.; Levin, Philip S.",2014,10.1038/srep07110,https://drive.google.com/open?id=1S-F4rVBQ4D5DuIvpQfbwc8DgjFWaKOp2&usp=drive_fs,"Abstract Twenty-first century conservation is centered on negotiating trade-offs between the diverse needs of people and the needs of the other species constituting coupled human-natural ecosystems. Marine forage fishes, such as sardines, anchovies and herring, are a nexus for such trade-offs because they are both central nodes in marine food webs and targeted by fisheries. An important example is Pacific herring, Clupea pallisii in the Northeast Pacific.",,Policy/Management,,,TRUE,,TRUE,,,,,29,,,,https://escholarship.org/uc/item/8pk6s2g1,Scientific Reports,Sci Rep,4,1,,Springer Science and Business Media LLC,"AbstractTwenty-first century conservation is centered on negotiating trade-offs between the diverse needs of people and the needs of the other species constituting coupled human-natural ecosystems. Marine forage fishes, such as sardines, anchovies and herring, are a nexus for such trade-offs because they are both central nodes in marine food webs and targeted by fisheries. An important example is Pacific herring,Clupea pallisiiin the Northeast Pacific. Herring populations are subject to two distinct fisheries: one that harvests adults and one that harvests spawned eggs. We develop stochastic, age-structured models to assess the interaction between fisheries, herring populations and the persistence of predators reliant on herring populations. We show that egg- and adult-fishing have asymmetric effects on herring population dynamics - herring stocks can withstand higher levels of egg harvest before becoming depleted. Second, ecosystem thresholds proposed to ensure the persistence of herring predators do not necessarily pose more stringent constraints on fisheries than conventional, fishery driven harvest guidelines. Our approach provides a general template to evaluate ecosystem trade-offs between stage-specific harvest practices in relation to environmental variability, the risk of fishery closures and the risk of exceeding ecosystem thresholds intended to ensure conservation goals are met.",Ecosystem; Forage fish; Forage; Fishery; Fish <Actinopterygii>; Ecosystem approach,2045-2322,https://doi.org/10.1038/srep07110,"Olaf, S. A., F., S. J., C., S. A., S., L. P. (2014.0). Assessing trade-offs to inform ecosystem-based fisheries management of forage fish. Scientific Reports, 4(1). https://doi.org/10.1038/srep07110",,,,,
Predators alter community organization of coral reef cryptofauna and reduce abundance of coral mutualists,"Stier, A. C.; Leray, M.",2014,10.1007/s00338-013-1077-2,https://drive.google.com/open?id=1S1qmMMgIU1hP5w8fq0myRSEcg8EUgZ4F&usp=drive_fs,,,Coral; Mutualisms,Research,,FALSE,,,,,,,24,,,Meta-analysis,http://link.springer.com/content/pdf/10.1007/s00338-013-1077-2.pdf,Coral Reefs,Coral Reefs,33,1,181-191,Springer Science and Business Media LLC,,Species richness; Coral reef; Ecology; Biology; Coral; Predation,0722-4028,https://doi.org/10.1007/s00338-013-1077-2,"C., S. A., M., L. (2014.0). Predators alter community organization of coral reef cryptofauna and reduce abundance of coral mutualists. Coral Reefs, 33(1), 181-191. https://doi.org/10.1007/s00338-013-1077-2",,,,,
Predator density and the functional responses of coral reef fish,"Stier, A. C.; White, J. W.",2014,10.1007/s00338-013-1096-z,https://drive.google.com/open?id=1PmJB59Rfiw4cDBGVRYh2__Mh2Q5hKUfs&usp=drive_fs,,,Coral,Research,,FALSE,,,,,,,18,,,Meta-analysis,http://link.springer.com/content/pdf/10.1007/s00338-013-1096-z.pdf,Coral Reefs,Coral Reefs,33,1,235-240,Springer Science and Business Media LLC,,Predation; Coral reef fish; Predator; Biology; Functional response; Coral reef,0722-4028,https://doi.org/10.1007/s00338-013-1096-z,"C., S. A., W., W. J. (2014.0). Predator density and the functional responses of coral reef fish. Coral Reefs, 33(1), 235-240. https://doi.org/10.1007/s00338-013-1096-z",,,,,
Predation and landscape characteristics independently affect reef fish community organization,"Stier, Adrian C.; Hanson, Katharine M.; Holbrook, Sally J.; Schmitt, Russell J.; Brooks, Andrew J.",2014,10.1890/12-1441.1,https://drive.google.com/open?id=1PePYxFPREF5LErevVtsWHu4CUsr9ljZ_&usp=drive_fs,"Trophic island biogeography theory predicts that the effects of predators on prey diversity are context dependent in heterogeneous landscapes. Specifically, models predict that the positive effect of habitat area on prey diversity should decline in the presence of predators, and that predators should modify the partitioning of alpha and beta diversity across patchy landscapes. However, experimental tests of the predicted context dependency in top‐down control remain limited.",,Coral,,,FALSE,,,,,,,38,,,Field experiment,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1890%2F12-1441.1,Ecology,Ecology,95,5,1294-1307,Wiley,"Trophic island biogeography theory predicts that the effects of predators on prey diversity are context dependent in heterogeneous landscapes. Specifically, models predict that the positive effect of habitat area on prey diversity should decline in the presence of predators, and that predators should modify the partitioning of alpha and beta diversity across patchy landscapes. However, experimental tests of the predicted context dependency in top‐down control remain limited. Using a factorial field experiment we quantify the effects of a focal predatory fish species (grouper) and habitat characteristics (patch size, fragmentation) on the partitioning of diversity and assembly of coral reef fish communities. We found independent effects of groupers and patch characteristics on prey communities. Groupers reduced prey abundance by 50% and gamma diversity by 45%, with a disproportionate removal of rare species relative to common species (64% and 36% reduction, respectively; an oddity effect). Further, there was a 77% reduction in beta diversity. Null model analysis demonstrated that groupers increased the importance of stochastic community assembly relative to patches without groupers. With regard to patch size, larger patches contained more fishes, but a doubling of patch size led to a modest (36%) increase in prey abundance. Patch size had no effect on prey diversity; however, fragmented patches had 50% higher species richness and modified species composition relative to unfragmented patches. Our findings suggest two different pathways (i.e., habitat or predator shifts) by which natural and/or anthropogenic processes can drive variation in fish biodiversity and community assembly.",Predation; Ecology; Biology; Species richness; Beta diversity; Trophic level,0012-9658,https://doi.org/10.1890/12-1441.1,"C., S. A., M., H. K., J., H. S., J., S. R., J., B. A. (2014.0). Predation and landscape characteristics independently affect reef fish community organization. Ecology, 95(5), 1294-1307. https://doi.org/10.1890/12-1441.1",,,,,
Larval dispersal drives trophic structure across Pacific coral reefs,"Stier, Adrian C.; Hein, Andrew M.; Parravicini, Valeriano; Kulbicki, Michel",2014,10.1038/ncomms6575,https://drive.google.com/open?id=1Q470bFdnijQ0tjne2h1nCRw45WiItLNT&usp=drive_fs,,,Coral,Policy,,TRUE,,,,,,,37,,,,https://www.nature.com/articles/ncomms6575.pdf,Nature Communications,Nat Commun,5,1,,Springer Science and Business Media LLC,,Species richness; Biological dispersal; Ecology; Coral reef fish; Coral reef; Reef,2041-1723,https://doi.org/10.1038/ncomms6575,"C., S. A., M., H. A., Valeriano, P., Michel, K. (2014.0). Larval dispersal drives trophic structure across Pacific coral reefs. Nature Communications, 5(1). https://doi.org/10.1038/ncomms6575",,,,,
Ecologists should not use statistical significance tests to interpret simulation model results,"White, J. Wilson; Rassweiler, Andrew; Samhouri, Jameal F.; Stier, Adrian C.; White, Crow",2014,10.1111/j.1600-0706.2013.01073.x,https://drive.google.com/open?id=1QCDP72DWr55PdWBqt4z4GfwbN8Y7eOaO&usp=drive_fs,Simulation models are widely used to represent the dynamics of ecological systems. A common question with such models is how changes to a parameter value or functional form in the model alter the results. Some authors have chosen to answer that question using frequentist statistical hypothesis tests (e.g.,,Methods/Models,,,TRUE,,,,,,,387,,,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1600-0706.2013.01073.x,Oikos,Oikos,123,4,385-388,Wiley,"Simulation models are widely used to represent the dynamics of ecological systems. A common question with such models is how changes to a parameter value or functional form in the model alter the results. Some authors have chosen to answer that question using frequentist statistical hypothesis tests (e.g. ANOVA). This is inappropriate for two reasons. First, p‐values are determined by statistical power (i.e. replication), which can be arbitrarily high in a simulation context, producing minuscule p‐values regardless of the effect size. Second, the null hypothesis of no difference between treatments (e.g. parameter values) is known a priori to be false, invalidating the premise of the test. Use of p‐values is troublesome (rather than simply irrelevant) because small p‐values lend a false sense of importance to observed differences. We argue that modelers should abandon this practice and focus on evaluating the magnitude of differences between simulations.SynthesisResearchers analyzing field or lab data often test ecological hypotheses using frequentist statistics (t‐tests, ANOVA, etc.) that focus on p‐values. Field and lab data usually have limited sample sizes, and p‐values are valuable for quantifying the probability of making incorrect inferences in that situation. However, modern ecologists increasingly rely on simulation models to address complex questions, and those who were trained in frequentist statistics often apply the hypothesis‐testing approach inappropriately to their simulation results. Our paper explains why p‐values are not informative for interpreting simulation models, and suggests better ways to evaluate the ecological significance of model results.",Frequentist inference; Null hypothesis; Statistical hypothesis testing; Statistical power; Statistics; Context (archaeology),0030-1299,https://doi.org/10.1111/j.1600-0706.2013.01073.x,"Wilson, W. J., Andrew, R., F., S. J., C., S. A., Crow, W. (2014.0). Ecologists should not use statistical significance tests to interpret simulation model results. Oikos, 123(4), 385-388. https://doi.org/10.1111/j.1600-0706.2013.01073.x",,,,,
Illegal shark fishing in the Galápagos Marine Reserve,"Carr, Lindsey A.; Stier, Adrian C.; Fietz, Katharina; Montero, Ignacio; Gallagher, Austin J.; Bruno, John F.",2013,10.1016/j.marpol.2012.12.005,https://drive.google.com/open?id=1QZ1drzDH-XFlTMreKXYZnyAiCU3baz8h&usp=drive_fs,,,Policy/Management,,,FALSE,,,,,,,74,,,,https://api.elsevier.com/content/article/PII:S0308597X12002461?httpAccept=text/xml,Marine Policy,Marine Policy,39,,317-321,Elsevier BV,,Fishing; Fishery; Poaching; Marine reserve; Marine protected area; Biodiversity,0308-597X,https://doi.org/10.1016/j.marpol.2012.12.005,"A., C. L., C., S. A., Katharina, F., Ignacio, M., J., G. A., F., B. J. (2013.0). Illegal shark fishing in the Galápagos Marine Reserve. Marine Policy, 39, 317-321. https://doi.org/10.1016/j.marpol.2012.12.005",,,,,
Competitive hierarchies among three species of juvenile coral reef fishes,"Geange, Sw; Stier, Ac; Shima, Js",2013,10.3354/meps10015,https://drive.google.com/open?id=1RDOXUttmzTUmFccxoEYX9KLuxCaRDpe9&usp=drive_fs,,,Coral,Research,,TRUE,,,,,,,11,,,Field experiment,https://www.int-res.com/articles/meps2013/472/m472p239.pdf,Marine Ecology Progress Series,Mar. Ecol. Prog. Ser.,472,,239-248,Inter-Research Science Center,"MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 472:239-248 (2013) - DOI: https://doi.org/10.3354/meps10015 Competitive hierarchies among three species of juvenile coral reef fishes Shane W. Geange1,*, Adrian C. Stier2, Jeffrey S. Shima1 1School of Biological Sciences, Victoria University of Wellington, PO Box 600, Wellington 6023, New Zealand 2Department of Biology, University of Florida, Gainesville, Florida 32611-8525, USA *Email: shane.geange@vuw.ac.nz ABSTRACT: Interspecific competition is often asymmetric, and it can limit the spatial distributions of competitively inferior species within a community. When asymmetric competition involves 2 or more component species, the ranking of species’ competitive abilities may form competitive hierarchies (all species of higher rank out-compete all species of lower rank) or competitive networks (at least 1 species of lower rank out-competes ≥1 species of higher rank). Expectations of resource monopolization and patterns of distribution and abundance among species in competitive networks are expected to differ from those in competitive hierarchies. We conducted a field experiment to evaluate the relative competitive abilities of juveniles of 3 closely related species of reef fish (bird wrasse Gomphosus varius, fivestripe wrasse Thalassoma quinquevittatum and the sixbar wrasse T. hardwicke) on Moorea, French Polynesia. We controlled for intrinsic variation in survivorship among species and found that competition among these 3 species was highly asymmetric, resulting in a simple competitive hierarchy (sequence of competitive ability from superior to inferior competitors): fivestripe wrasse > bird wrasse > sixbar wrasse. We surveyed densities of the 3 reef fish species on 55 patch reefs and observed significant negative spatial covariation between superior and inferior competitors, consistent with competitive hierarchies that limit the spatial distributions of the inferior species (sixbar wrasse). Our work demonstrates that intense asymmetric competition and the formation of competitive hierarchies may be an important determinant of resource monopolization and patterns of distribution and abundance in reef fishes. KEY WORDS: Asymmetric competition · Competitive hierarchies · Interspecific interactions · Wrasse · Gomphosus · Thalassoma · French Polynesia Full text in pdf format Supplementary material PreviousNextCite this article as: Geange SW, Stier AC, Shima JS (2013) Competitive hierarchies among three species of juvenile coral reef fishes. Mar Ecol Prog Ser 472:239-248. https://doi.org/10.3354/meps10015 Export citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 472. Online publication date: January 09, 2013 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2013 Inter-Research.",Wrasse; Competition (biology); Biology; Ecology; Interspecific competition; Coral reef,0171-8630,https://doi.org/10.3354/meps10015,"Sw, G., Ac, S., Js, S. (2013.0). Competitive hierarchies among three species of juvenile coral reef fishes. Marine Ecology Progress Series, 472, 239-248. https://doi.org/10.3354/meps10015",,,,,
Predator density and timing of arrival affect reef fish community assembly,"Stier, Adrian C.; Geange, Shane W.; Hanson, Kate M.; Bolker, Benjamin M.",2013,10.1890/11-1983.1,https://drive.google.com/open?id=1Q0xBHh5AGkeZnpXZYfKLqncp3hvR4yod&usp=drive_fs,"Most empirical studies of predation use simple experimental approaches to quantify the effects of predators on prey (e.g., using constant densities of predators, such as ambient vs. zero). However, predator densities vary in time, and these effects may not be well represented by studies that use constant predator densities.",,Coral,,,FALSE,,,,,,,77,,,Field experiment,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1890%2F11-1983.1,Ecology,Ecology,94,5,1057-1068,Wiley,"Most empirical studies of predation use simple experimental approaches to quantify the effects of predators on prey (e.g., using constant densities of predators, such as ambient vs. zero). However, predator densities vary in time, and these effects may not be well represented by studies that use constant predator densities. Although studies have independently examined the importance of predator density, temporal variability, and timing of arrival (i.e., early or late relative to prey), the relative contribution of these different predator regimes on prey abundance, diversity, and composition remains poorly understood. The hawkfish (Paracirrhites arcatus), a carnivorous coral reef fish, exhibits substantial variability in patch occupancy, density, and timing of arrival to natural reefs. Our field experiments demonstrated that effects of hawkfish on prey abundance depended on both hawkfish density and the timing of their arrival, but not on variability in hawkfish density. Relative to treatments without hawkfish, hawkfish presence reduced prey abundance by 50%. This effect increased with a doubling of hawkfish density (an additional 33% reduction), and when hawkfish arrived later during community development (a 34% reduction). Hawkfish did not affect within‐patch diversity (species richness), but they increased between‐patch diversity (beta) based on species incidence (22%), and caused shifts in species composition. Our results suggest that the timing of predator arrival can be as important as predator density in modifying prey abundance and community composition.",Predation; Predator; Abundance (ecology); Ecology; Species richness; Biology,0012-9658,https://doi.org/10.1890/11-1983.1,"C., S. A., W., G. S., M., H. K., M., B. B. (2013.0). Predator density and timing of arrival affect reef fish community assembly. Ecology, 94(5), 1057-1068. https://doi.org/10.1890/11-1983.1",,,,,
High Mortality in a Surgeonfish Following an Exceptional Settlement Event,"Stier, Adrian C.; Idjadi, Joshua A.; Geange, Shane W.; White, Jada-Simone S.",2013,10.2984/67.4.4,https://drive.google.com/open?id=1Ps810gnS2zkD8IHYS2n7WfF584rGhAjf&usp=drive_fs,,,,Policy,,FALSE,,,,,,,4,,Pacific,,http://www.bioone.org/doi/full-xml/10.2984/67.4.4,Pacific Science,Pacific Science,67,4,533-538,Pacific Science,"Marine organisms occasionally settle at exceptional densities, whereby thousands of individuals arrive concurrently. High levels of mortality, which has historically been attributed to predation or competition, often follow this episodic settlement of reef fishes. Here, however, we observed large numbers of newly settled surgeonfish (Ctenochaetus striatus) with white lesions lying dead on the sand amongst patch reefs following separate episodic settlement events in 2006 and 2009 in Moorea, French Polynesia. Pathogens have been identified as an important driver of population dynamics in other marine organisms but less so for reef fishes. Our observations suggest that disease outbreaks may play an underappreciated role as a mechanism of mortality following episodic settlement events in reef fishes.",Reef; Predation; Settlement (finance); Population; Biology; Fishery,0030-8870,https://doi.org/10.2984/67.4.4,"C., S. A., A., I. J., W., G. S., S., W. J. (2013.0). High Mortality in a Surgeonfish Following an Exceptional Settlement Event. Pacific Science, 67(4), 533-538. https://doi.org/10.2984/67.4.4",,,,,
Emergent effects of multiple predators on prey survival: the importance of depletion and the functional response,"McCoy, Michael W.; Stier, Adrian C.; Osenberg, Craig W.",2012,10.1111/ele.12005,https://drive.google.com/open?id=1RTBjCF53CsqFf6GgmGXuP1kh39Zc368v&usp=drive_fs,"Abstract The combined effects of multiple predators often cannot be predicted from their independent effects. Emergent multiple predator effects ( MPE s) include risk enhancement, where combined predators kill more prey than predicted by their individual effects, and risk reduction, where fewer prey are killed than predicted. Current methods for detecting MPE s are biased because they assume linear functional responses and/or no prey depletion.",,,Research,,FALSE,,,,,,,121,National Science Foundation,,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fele.12005,Ecology Letters,Ecology Letters,15,12,1449-1456,Wiley,"AbstractThe combined effects of multiple predators often cannot be predicted from their independent effects. Emergent multiple predator effects (MPEs) include risk enhancement, where combined predators kill more prey than predicted by their individual effects, and risk reduction, where fewer prey are killed than predicted. Current methods for detecting MPEs are biased because they assume linear functional responses and/or no prey depletion. As a result, past studies overestimated the occurrence of risk enhancement for additive designs, and tended to overestimate the occurrence of risk reduction for substitutive designs. Characterising the predators' functional responses and accounting for prey depletion reduces biases in detection, estimation, interpretation and generalisation of the emergent effects of predator diversity on prey survival. These findings have implications beyond MPE's and should be considered in all studies aimed at understanding how multiple factors combine when demographic rates are density dependent.",Predation; Functional response; Predator; Biology; Ecology,1461-023X,https://doi.org/10.1111/ele.12005,"W., M. M., C., S. A., W., O. C. (2012.0). Emergent effects of multiple predators on prey survival: the importance of depletion and the functional response. Ecology Letters, 15(12), 1449-1456. https://doi.org/10.1111/ele.12005",,,,,
Multiple defender effects: synergistic coral defense by mutualist crustaceans,"McKeon, C. Seabird; Stier, Adrian C.; McIlroy, Shelby E.; Bolker, Benjamin M.",2012,10.1007/s00442-012-2275-2,https://drive.google.com/open?id=1RcKwNv3l-kYqMJlthVveQEl609tZxt--&usp=drive_fs,,,Coral; Mutualisms,,,FALSE,,,,,,,80,,,Bayesian models; Meta-analysis,http://link.springer.com/content/pdf/10.1007/s00442-012-2275-2.pdf,Oecologia,Oecologia,169,4,1095-1103,Springer Science and Business Media LLC,,Biology; Crustacean; Coral; Ecology; Fishery,0029-8549,https://doi.org/10.1007/s00442-012-2275-2,"Seabird, M. C., C., S. A., E., M. S., M., B. B. (2012.0). Multiple defender effects: synergistic coral defense by mutualist crustaceans. Oecologia, 169(4), 1095-1103. https://doi.org/10.1007/s00442-012-2275-2",,,,,
The influence of fundamental traits on mechanisms controlling appendage regeneration,"Seifert, Ashley W.; Monaghan, James R.; Smith, Matthew D.; Pasch, Bret; Stier, Adrian C.; Michonneau, François; Maden, Malcolm",2012,10.1111/j.1469-185X.2011.00199.x,https://drive.google.com/open?id=1Rlmh8Uk1ENpPHLb-rOqQ2BOlAlhoAfqk&usp=drive_fs,"One of the most compelling questions in evolutionary biology is why some animals can regenerate injured structures while others cannot. Appendage regeneration appears to be common when viewed across the metazoan phylogeny, yet this ability has been lost in many taxa to varying degrees. Within species, the capacity for regeneration also can vary ontogenetically among individuals.",,,,,FALSE,,,,,,,77,,,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1469-185X.2011.00199.x,Biological Reviews,Biological Reviews,87,2,330-345,Wiley,"One of the most compelling questions in evolutionary biology is why some animals can regenerate injured structures while others cannot. Appendage regeneration appears to be common when viewed across the metazoan phylogeny, yet this ability has been lost in many taxa to varying degrees. Within species, the capacity for regeneration also can vary ontogenetically among individuals. Here we argue that appendage regeneration along the secondary body axis may be constrained by fundamental traits such as body size, aging, life stage, and growth pattern. Studies of the molecular mechanisms affecting regeneration have been conducted primarily with small organisms at early life stages. Such investigations disregard the dramatic shifts in morphology and physiology that organisms undergo as they age, grow, and mature. To help explain interspecific and intraspecific constraints on regeneration, we link particular fundamental traits to specific molecular mechanisms that control regeneration. We present a new synthesis for how these fundamental traits may affect the molecular mechanisms of regeneration at the tissue, cellular, and genomic levels of biological organization. Future studies that explore regeneration in organisms across a broad phylogenetic scale, and within an ontogenetic framework, will help elucidate the proximate mechanisms that modulate regeneration and may reveal new biomedical applications for use in regenerative medicine.",Biology; Regeneration (biology); Appendage; Evolutionary biology; Intraspecific competition; Interspecific competition,1464-7931,https://doi.org/10.1111/j.1469-185X.2011.00199.x,"W., S. A., R., M. J., D., S. M., Bret, P., C., S. A., François, M., Malcolm, M. (2012.0). The influence of fundamental traits on mechanisms controlling appendage regeneration. Biological Reviews, 87(2), 330-345. https://doi.org/10.1111/j.1469-185X.2011.00199.x",,,,,
Housekeeping Mutualisms: Do More Symbionts Facilitate Host Performance?,"Stier, Adrian C.; Gil, Michael A.; McKeon, C. Seabird; Lemer, Sarah; Leray, Matthieu; Mills, Suzanne C.; Osenberg, Craig W.",2012,10.1371/journal.pone.0032079,https://drive.google.com/open?id=1PB7HJWHODJyEUtImtqQ47-ev10MEM6EG&usp=drive_fs,,,Mutualisms,,,TRUE,,,,,,,46,,,Meta-analysis,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0032079&type=printable,PLoS ONE,PLoS ONE,7,4,e32079,Public Library of Science (PLoS),"Mutualisms often involve one host supporting multiple symbionts, whose identity, density and intraguild interactions can influence the nature of the mutualism and performance of the host. However, the implications of multiple co-occurring symbionts on services to a host have rarely been quantified. In this study, we quantified effects of decapod symbionts on removal of sediment from their coral host. Our field survey showed that all common symbionts typically occur as pairs and never at greater abundances. Two species, the crab Trapezia serenei and the shrimp Alpheus lottini, were most common and co-occurred more often than expected by chance. We conducted a mesocosm experiment to test for effects of decapod identity and density on sediment removal. Alone, corals removed 10% of sediment, but removal increased to 30% and 48% with the presence of two and four symbionts, respectively. Per-capita effects of symbionts were independent of density and identity. Our results suggest that symbiont density is restricted by intraspecific competition. Thus, increased sediment removal from a coral host can only be achieved by increasing the number of species of symbionts on that coral, even though these species are functionally equivalent. Symbiont diversity plays a key role, not through added functionality but by overcoming density limitation likely imposed by intraspecific mating systems.",Biology; Intraspecific competition; Mutualism (biology); Ecology; Host (biology); Coral,1932-6203,https://doi.org/10.1371/journal.pone.0032079,"C., S. A., A., G. M., Seabird, M. C., Sarah, L., Matthieu, L., C., M. S., W., O. C. (2012.0). Housekeeping Mutualisms: Do More Symbionts Facilitate Host Performance?. PLoS ONE, 7(4), e32079. https://doi.org/10.1371/journal.pone.0032079",,,,,
The value of estuarine and coastal ecosystem services,"Barbier, Edward B.; Hacker, Sally D.; Kennedy, Chris; Koch, Evamaria W.; Stier, Adrian C.; Silliman, Brian R.",2011,10.1890/10-1510.1,https://drive.google.com/open?id=1RhJxuIYkZ6TVuzdXTW-9jb0ld9Ax8NCt&usp=drive_fs,,,,,,TRUE,,,,,,,4916,,,,https://figshare.com/articles/journal_contribution/Value_of_Wetlands_in_Protecting_Southeast_Louisiana_from_Hurricane_Storm_Surges_The/13678900,Ecological Monographs,Ecological Monographs,81,2,169-193,Wiley,"The global decline in estuarine and coastal ecosystems (ECEs) is affecting a number of critical benefits, or ecosystem services. We review the main ecological services across a variety of ECEs, including marshes, mangroves, nearshore coral reefs, seagrass beds, and sand beaches and dunes. Where possible, we indicate estimates of the key economic values arising from these services, and discuss how the natural variability of ECEs impacts their benefits, the synergistic relationships of ECEs across seascapes, and management implications. Although reliable valuation estimates are beginning to emerge for the key services of some ECEs, such as coral reefs, salt marshes, and mangroves, many of the important benefits of seagrass beds and sand dunes and beaches have not been assessed properly. Even for coral reefs, marshes, and mangroves, important ecological services have yet to be valued reliably, such as cross-ecosystem nutrient transfer (coral reefs), erosion control (marshes), and pollution control (mangroves). An important issue for valuing certain ECE services, such as coastal protection and habitat–fishery linkages, is that the ecological functions underlying these services vary spatially and temporally. Allowing for the connectivity between ECE habitats also may have important implications for assessing the ecological functions underlying key ecosystems services, such coastal protection, control of erosion, and habitat–fishery linkages. Finally, we conclude by suggesting an action plan for protecting and/or enhancing the immediate and longer-term values of ECE services. Because the connectivity of ECEs across land–sea gradients also influences the provision of certain ecosystem services, management of the entire seascape will be necessary to preserve such synergistic effects. Other key elements of an action plan include further ecological and economic collaborative research on valuing ECE services, improving institutional and legal frameworks for management, controlling and regulating destructive economic activities, and developing ecological restoration options.",Ecosystem services; Seagrass; Salt marsh; Coral reef; Marsh; Mangrove,0012-9615,https://doi.org/10.1890/10-1510.1,"B., B. E., D., H. S., Chris, K., W., K. E., C., S. A., R., S. B. (2011.0). The value of estuarine and coastal ecosystem services. Ecological Monographs, 81(2), 169-193. https://doi.org/10.1890/10-1510.1",,,,,
